OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad_
87,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9207,LUMACO,2941,2574,5515,1986,2047,4033,4927,4621,9548,1687,2167,3854,2.27190369,1801725345.94141,283707.93277977,1108.1907959,8.61584473
88,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8309,QUILLECO,2012,1989,4001,2708,2878,5586,4720,4867,9587,2094,1786,3880,2.44868272,1783508480.09766,297620.75463145,1123.51306152,8.53305626
89,7,REGIÓN DEL MAULE,73,CURICÓ,7302,HUALAÑÉ,2016,1898,3914,2867,2876,5743,4883,4774,9657,2426,1903,4329,1.75596022,942370842.394531,214202.16295154,631.98950195,15.28031731
90,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9118,TOLTÉN,3013,2841,5854,1870,1998,3868,4883,4839,9722,1608,2545,4153,1.58462536,1418067445.0625,200683.68215313,850.00604248,11.4375658
91,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13505,SAN PEDRO,5132,4594,9726,0,0,0,5132,4594,9726,0,4187,4187,1.59626707,1145957342.25781,193496.78662914,787.97216797,12.3430748
92,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8307,NEGRETE,1874,1808,3682,2939,3116,6055,4813,4924,9737,2105,1416,3521,0.76287428,247799050.296875,95503.46631143,155.36087036,62.67343903
93,5,REGIÓN DE VALPARAÍSO,54,PETORCA,5404,PETORCA,2865,2858,5723,2024,2079,4103,4889,4937,9826,1809,2637,4446,2.15865551,2123642732.90039,256687.21667078,1516.52062988,6.47930479
94,14,REGIÓN DE LOS RÍOS,142,RANCO,14203,LAGO RANCO,3945,3682,7627,1100,1169,2269,5045,4851,9896,1215,4130,5345,2.98045251,3007888220.51953,367260.20828121,1744.984375,5.67111063
95,10,REGIÓN DE LOS LAGOS,103,OSORNO,10307,SAN PABLO,2803,2618,5421,2175,2434,4609,4978,5052,10030,1702,2533,4235,1.87396457,1084334328.88672,232810.12649138,627.51879883,15.9835844
96,3,REGIÓN DE ATACAMA,33,HUASCO,3304,HUASCO,730,517,1247,4513,4389,8902,5243,4906,10149,3766,2460,6226,3.0091287,2071849105.79688,358767.28146812,1601.7064209,6.33636713
97,2,REGIÓN DE ANTOFAGASTA,21,ANTOFAGASTA,2103,SIERRA GORDA,8662,1524,10186,0,0,0,8662,1524,10186,0,570,570,5.03929029,15344048414.2598,583905.19517056,12880.41503906,0.79081303
98,5,REGIÓN DE VALPARAÍSO,53,LOS ANDES,5303,RINCONADA,1108,1034,2142,4026,4039,8065,5134,5073,10207,2802,832,3634,0.56231082,175026759.419922,69098.92581498,123.07289886,82.93458557
99,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9209,RENAICO,1012,886,1898,3945,4407,8352,4957,5293,10250,3215,713,3928,1.13419687,424376411.980469,142091.25409263,265.12167358,38.66149139
100,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9205,LONQUIMAY,3370,3094,6464,1976,1811,3787,5346,4905,10251,1581,3209,4790,3.58888008,6426573129.50391,449277.21839008,3936.6862793,2.60396671
101,8,REGIÓN DEL BIOBÍO,82,ARAUCO,8207,TIRÚA,3378,3301,6679,1817,1921,3738,5195,5222,10417,1609,2443,4052,1.60945601,1019758788.5625,205804.16508782,626.70831299,16.62176895
102,7,REGIÓN DEL MAULE,73,CURICÓ,7305,RAUCO,2552,2401,4953,2686,2845,5531,5238,5246,10484,2027,2131,4158,1.35574782,460962580.951172,162931.80425752,309.25665283,33.90064621
103,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8104,FLORIDA,3203,2861,6064,2183,2377,4560,5386,5238,10624,1756,3416,5172,1.42033941,946532324,175992.44927675,605.49334717,17.54602242
104,16,REGIÓN DE ÑUBLE,161,DIGUILLÍN,16106,PINTO,2738,2631,5369,2598,2860,5458,5336,5491,10827,2532,2897,5429,2.66765788,1729502955.96875,323736.15383346,1105.20800781,9.79634571
105,5,REGIÓN DE VALPARAÍSO,56,SAN ANTONIO,5606,SANTO DOMINGO,2471,2213,4684,2957,3259,6216,5428,5472,10900,4385,3443,7828,1.17551669,771919876.835938,145674.80317499,531.67382813,20.50129128
106,4,REGIÓN DE COQUIMBO,43,LIMARÍ,4304,PUNITAQUI,2666,2442,5108,2786,3062,5848,5452,5504,10956,2429,2383,4812,2.23834895,1489514351.7207,268506.20004538,1092.75195313,10.02606297
107,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,2203,SAN PEDRO DE ATACAMA,3443,2029,5472,2718,2806,5524,6161,4835,10996,1979,2165,4144,6.75111239,28098847866.6289,785747.28021299,23539.08203125,0.46713802
108,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6307,PERALILLO,2254,2116,4370,3284,3353,6637,5538,5469,11007,2604,1886,4490,0.95749061,416263186.109375,116181.22630673,282.36148071,38.98194504
109,4,REGIÓN DE COQUIMBO,41,ELQUI,4103,ANDACOLLO,543,493,1036,4976,5032,10008,5519,5525,11044,3807,699,4506,1.25506824,692011215.634766,150059.63704384,514.80078125,21.45295906
110,16,REGIÓN DE ÑUBLE,163,PUNILLA,16303,ÑIQUÉN,5098,4901,9999,518,635,1153,5616,5536,11152,523,4319,4842,1.57609703,761201673.501953,192477.49782682,494.012146,22.57434464
111,16,REGIÓN DE ÑUBLE,162,ITATA,16201,QUIRIHUE,1159,962,2121,4520,4953,9473,5679,5915,11594,4101,1147,5248,1.78313386,899020977.78125,219747.25148824,584.00952148,19.85241699
112,16,REGIÓN DE ÑUBLE,163,PUNILLA,16305,SAN NICOLÁS,3434,3282,6716,2362,2525,4887,5796,5807,11603,1784,2943,4727,1.33670261,878015120.207031,162472.1175069,567.07128906,20.46127319
113,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9121,CHOLCHOL,3758,3497,7255,2015,2341,4356,5773,5838,11611,1431,2782,4213,1.19777695,703896181.039062,150665.36286919,429.54290771,27.03105927
114,10,REGIÓN DE LOS LAGOS,103,OSORNO,10304,PUYEHUE,3560,3109,6669,2398,2600,4998,5958,5709,11667,1833,3078,4911,3.37192808,2861396384.05859,410786.57367648,1642.23828125,7.10432863
115,9,REGIÓN DE LA ARAUCANÍA,92,MALLECO,9208,PURÉN,2163,2083,4246,3514,4019,7533,5677,6102,11779,3110,1699,4809,1.37257326,748162078.949219,170366.3534062,463.55065918,25.41038322
116,9,REGIÓN DE LA ARAUCANÍA,91,CAUTÍN,9106,GALVARINO,4076,3771,7847,1956,2193,4149,6032,5964,11996,1475,2800,4275,1.42140612,928215155.992188,176700.61331093,568.44287109,21.10326576
